LibraryElement, DeclaringType, ElementSignature, EntityKind, Count, Status
TKS,TKS.UOCollapsableControl,IsCollapsed,Property,4,1
System.Windows.Forms,System.Windows.Forms.CheckBox,Checked,Property,1,1
mscorlib,System.Collections.ArrayList,Add(object),Method,2,1
TKS,TKS.frmOrders,UnitPrice,Property,1,1
System.Windows.Forms,System.Windows.Forms.ComboBox,,Class,14,1
mscorlib,System.Char,IsUpper(char),Method,1,1
System.Windows.Forms,System.Windows.Forms.Control,,Class,15,1
System.Windows.Forms,System.Windows.Forms.Control,ForeColor,Property,4,1
TKS,TKS.ValidationCommon,.ctor(),Method,1,1
System,System.Text.RegularExpressions.Regex,"IsMatch(string, string, System.Text.RegularExpressions.RegexOptions)",Method,1,1
mscorlib,System.Int32,ToString(),Method,1,1
mscorlib,System.Collections.Generic.List`1,RemoveAt(int),Method,1,1
TKS_Models,TKS_Models.User,,Class,1,1
System.Windows.Forms,System.Windows.Forms.LinkLabel,,Class,4,1
System.Windows.Forms,System.Windows.Forms.ComboBox,SelectedIndex,Property,4,1
System.Windows.Forms,System.Windows.Forms.Control,Enabled,Property,7,1
System.Windows.Forms,System.Windows.Forms.KeyPressEventArgs,KeyChar,Property,2,1
System.Windows.Forms,System.Windows.Forms.CheckBox,,Class,2,1
mscorlib,System.Collections.Generic.List`1,this[],Property,5,1
System.Windows.Forms,System.Windows.Forms.Control,Name,Property,2,1
System.Windows.Forms,System.Windows.Forms.Label,Text,Property,1,1
TKS,TKS.ValidationCommon,IsValidNameCase(System.Windows.Forms.Control),Method,1,1
System.Windows.Forms,System.Windows.Forms.ListBox,,Class,4,1
TKS_Models,TKS_Models.NamedValue,,Class,1,1
System.Windows.Forms,System.Windows.Forms.TreeView,SelectedNode,Property,1,1
System.Windows.Forms,System.Windows.Forms.ButtonBase,Text,Property,1,1
System.Windows.Forms,System.Windows.Forms.Form,,Class,10,1
mscorlib,System.String,Length,Property,1,1
System.Windows.Forms,System.Windows.Forms.NumericUpDown,Value,Property,5,1
System.Windows.Forms,System.Windows.Forms.TextBox,,Class,12,1
TKS,TKS.UOCollapsableControl,SetPanelVisibility(),Method,1,1
System.Windows.Forms,System.Windows.Forms.KeyPressEventArgs,,Class,1,1
TKS,TKS.ucOkCancel,,Class,2,1
mscorlib,System.Collections.Generic.List`1,,Class,5,1
mscorlib,System.Collections.Generic.List`1,Count,Property,3,1
System.Windows.Forms,System.Windows.Forms.Control,Visible,Property,13,1
System.Windows.Forms,System.Windows.Forms.Panel,,Class,4,1
mscorlib,System.Collections.ArrayList,Count,Property,1,1
mscorlib,System.Char,ToUpper(char),Method,1,1
System.Drawing,System.Drawing.Color,Black,Property,2,1
System.Drawing,System.Drawing.Color,White,Property,2,1
System.Windows.Forms,System.Windows.Forms.UserControl,,Class,2,1
System.Windows.Forms,System.Windows.Forms.Control,Text,Property,6,1
mscorlib,System.EventArgs,,Class,17,1
System,System.Text.RegularExpressions.Regex,"IsMatch(string, string)",Method,1,1
System.Windows.Forms,System.Windows.Forms.NumericUpDown,,Class,8,1
mscorlib,System.Collections.ArrayList,,Class,1,1
System.Windows.Forms,System.Windows.Forms.Button,,Class,4,1
TKS,TKS.frmWhiteForm,,Class,1,1
System.Windows.Forms,System.Windows.Forms.TextBox,Text,Property,6,1
System.Windows.Forms,System.Windows.Forms.TreeView,,Class,2,1
System,System.ComponentModel.CancelEventArgs,Cancel,Property,2,0
System.Drawing,System.Drawing.Color,Red,Property,6,1
System,System.ComponentModel.CancelEventArgs,,Class,2,0
System.Windows.Forms,System.Windows.Forms.Label,,Class,16,1
mscorlib,System.Enum,ToString(),Method,4,1
System.Windows.Forms,System.Windows.Forms.ListBox,SelectedIndex,Property,2,1
System.Windows.Forms,System.Windows.Forms.ComboBox,SelectedItem,Property,3,1
TKS,TKS.ValidationCommon,IsValidPassword(string),Method,1,1
System.Windows.Forms,System.Windows.Forms.TreeNode,Text,Property,1,1
System.Windows.Forms,System.Windows.Forms.Control,BackColor,Property,6,1
mscorlib,System.String,IsNullOrEmpty(string),Method,4,1
